steps,reward,error
20000,-0.50,0.00
40000,-0.50,0.00
60000,-2.50,0.00
80000,-0.50,0.00
100000,1.50,0.00
120000,-0.50,0.00
140000,-0.50,0.00
160000,-0.50,0.00
180000,-0.50,0.00
200000,-0.50,0.00
220000,-0.50,0.00
240000,-0.50,0.00
260000,-0.50,0.00
280000,-0.50,0.00
300000,-0.50,0.00
320000,-2.50,0.00
340000,-0.50,0.00
360000,-0.50,0.00
380000,-0.50,0.00
400000,1.50,0.00
420000,-0.50,0.00
440000,-0.50,0.00
460000,1.50,0.00
480000,1.50,0.00
500000,1.50,0.00
520000,-0.50,0.00
540000,-0.50,0.00
560000,-0.50,0.00
580000,-0.50,0.00
600000,-0.50,0.00
620000,-2.50,0.00
640000,-0.50,0.00
660000,-0.50,0.00
680000,-0.50,0.00
700000,-0.50,0.00
720000,-0.50,0.00
740000,-0.50,0.00
760000,-2.50,0.00
780000,-2.50,0.00
800000,-0.50,0.00
820000,-0.50,0.00
840000,-0.50,0.00
860000,-0.50,0.00
880000,-0.50,0.00
900000,-0.50,0.00
920000,-0.50,0.00
940000,-0.50,0.00
960000,-0.50,0.00
980000,-0.50,0.00
1000000,-0.50,0.00
1020000,-0.50,0.00
1040000,-2.50,0.00
1060000,-0.50,0.00
1080000,-2.50,0.00
1100000,-2.50,0.00
1120000,-2.50,0.00
1140000,-0.50,0.00
1160000,-0.50,0.00
1180000,-0.50,0.00
1200000,-0.50,0.00
1220000,-0.50,0.00
1240000,-0.50,0.00
1260000,-2.50,0.00
1280000,-2.50,0.00
1300000,-2.50,0.00
1320000,-2.50,0.00
1340000,-2.50,0.00
1360000,-2.50,0.00
1380000,-2.50,0.00
1400000,-2.50,0.00
1420000,-0.50,0.00
1440000,-0.50,0.00
1460000,1.50,0.00
1480000,1.50,0.00
1500000,1.50,0.00
1520000,1.50,0.00
1540000,1.50,0.00
1560000,1.50,0.00
1580000,-0.50,0.00
1600000,-0.50,0.00
1620000,-0.50,0.00
1640000,-0.50,0.00
1660000,-0.50,0.00
1680000,-0.50,0.00
1700000,-0.50,0.00
1720000,-0.50,0.00
1740000,-0.50,0.00
1760000,-0.50,0.00
1780000,-0.50,0.00
1800000,-0.50,0.00
1820000,-0.50,0.00
1840000,-0.50,0.00
1860000,1.50,0.00
1880000,1.50,0.00
1900000,-0.50,0.00
1920000,-2.50,0.00
1940000,-2.50,0.00
1960000,-2.50,0.00
1980000,-2.50,0.00
2000000,-2.50,0.00
2020000,-2.50,0.00
2040000,-2.50,0.00
2060000,-0.50,0.00
2080000,-2.50,0.00
2100000,-0.50,0.00
2120000,-0.50,0.00
2140000,1.50,0.00
2160000,-0.50,0.00
2180000,-2.50,0.00
2200000,-0.50,0.00
2220000,-0.50,0.00
2240000,-2.50,0.00
2260000,-0.50,0.00
2280000,-0.50,0.00
2300000,-0.50,0.00
2320000,-0.50,0.00
2340000,-0.50,0.00
2360000,1.50,0.00
2380000,1.50,0.00
2400000,-0.50,0.00
2420000,-0.50,0.00
2440000,-0.50,0.00
2460000,1.50,0.00
2480000,-2.50,0.00
2500000,-2.50,0.00
2520000,-0.50,0.00
2540000,-2.50,0.00
2560000,-2.50,0.00
2580000,-2.50,0.00
2600000,-2.50,0.00
2620000,-2.50,0.00
2640000,-2.50,0.00
2660000,-2.50,0.00
2680000,-0.50,0.00
2700000,-0.50,0.00
2720000,-0.50,0.00
2740000,-0.50,0.00
2760000,-0.50,0.00
2780000,-0.50,0.00
2800000,-2.50,0.00
2820000,-0.50,0.00
2840000,-0.50,0.00
2860000,-0.50,0.00
2880000,1.50,0.00
2900000,1.50,0.00
2920000,-0.50,0.00
2940000,-0.50,0.00
2960000,-0.50,0.00
2980000,-0.50,0.00
3000000,-0.50,0.00
